number,state,values,params,params,params,params,params,params,params,duration,datetime_start,datetime_complete
,,0,K,batch_size,drop_rate,gcn_out_size,linear_size,lr,weight_decay,,,
13,COMPLETE,0.33043705382281574,2,256,0.2552190881073846,128,1024,0.00036916600168898194,6.618929927701284e-05,0 days 00:01:14.331924,2025-06-01 13:03:05.184142,2025-06-01 13:04:19.516066
14,COMPLETE,0.3417203837571556,1,256,0.29712837008528215,32,1024,0.004886638124740453,0.0004104911266360259,0 days 00:01:21.420269,2025-06-01 13:04:19.516625,2025-06-01 13:05:40.936894
15,COMPLETE,0.37985137307458855,4,256,0.3856717059449227,32,1024,0.0015234147840080354,8.63606738588332e-06,0 days 00:01:43.575655,2025-06-01 13:05:40.937448,2025-06-01 13:07:24.513103
16,COMPLETE,0.3592380010456378,2,256,0.20562606634203656,128,1024,0.00010213798279391358,6.281009966109888e-05,0 days 00:01:21.312087,2025-06-01 13:07:24.513624,2025-06-01 13:08:45.825711
17,COMPLETE,0.3674741592064489,3,256,0.29205180961931654,64,256,0.01901000908506574,2.1796113622492643e-05,0 days 00:01:07.437149,2025-06-01 13:08:45.826149,2025-06-01 13:09:53.263298
18,COMPLETE,0.31625934505857717,3,128,0.17719168976173744,128,1024,0.004337196232311193,8.449116184274825e-06,0 days 00:02:49.509448,2025-06-01 13:09:53.263752,2025-06-01 13:12:42.773200
19,COMPLETE,0.3571977406305211,2,256,0.36926871008685913,32,1024,0.000467108372622185,0.0001244857750731963,0 days 00:01:16.571038,2025-06-01 13:12:42.773670,2025-06-01 13:13:59.344708
20,COMPLETE,0.3807688387297906,1,256,0.30634233994307947,32,256,0.0011616940961933831,0.0005878803881517957,0 days 00:01:13.229920,2025-06-01 13:13:59.345225,2025-06-01 13:15:12.575145
21,COMPLETE,0.3251314436702918,1,256,0.30975227997018884,32,256,0.001015764853677686,0.0007380682458355164,0 days 00:01:12.281586,2025-06-01 13:15:12.575669,2025-06-01 13:16:24.857255
22,COMPLETE,0.3389819818486126,1,256,0.2744287515067888,32,256,0.0013159258784775012,0.0003382980914270468,0 days 00:01:26.135011,2025-06-01 13:16:24.857817,2025-06-01 13:17:50.992828
23,COMPLETE,0.3463439245283294,1,256,0.24525708184815398,32,256,0.003015225593562261,0.0004888975709180361,0 days 00:01:04.466823,2025-06-01 13:17:50.993311,2025-06-01 13:18:55.460134
24,COMPLETE,0.33118485458737,2,256,0.36610251199118016,32,256,0.0006751357403997144,4.2047954125857436e-05,0 days 00:01:07.304626,2025-06-01 13:18:55.460630,2025-06-01 13:20:02.765256
25,COMPLETE,0.35297594804356686,3,256,0.3104704764549847,128,1024,0.00031861854265448456,0.0001616401112514833,0 days 00:01:14.600004,2025-06-01 13:20:02.765727,2025-06-01 13:21:17.365731
26,COMPLETE,0.3792341154022341,2,128,0.266538098053519,16,256,0.010154027599540155,0.00023335035841168077,0 days 00:02:23.897882,2025-06-01 13:21:17.366201,2025-06-01 13:23:41.264083
27,COMPLETE,0.35356606261508605,1,256,0.22465338477327843,64,1024,0.001371976573853395,7.918912171948129e-05,0 days 00:01:02.519890,2025-06-01 13:23:41.264540,2025-06-01 13:24:43.784430
28,COMPLETE,0.3099509050941548,4,256,0.3150060441949358,32,256,0.003612229555279548,0.0005584426654909849,0 days 00:01:24.839990,2025-06-01 13:24:43.784904,2025-06-01 13:26:08.624894
29,COMPLETE,0.35238418802225774,3,256,0.35918473052082756,16,1024,0.0019390302877419184,1.4184522909988864e-05,0 days 00:01:53.172863,2025-06-01 13:26:08.625351,2025-06-01 13:28:01.798214
