number,state,values,params,params,params,params,params,duration,datetime_start,datetime_complete
,,0,batch_size,hc_drop_rate,hc_linear_size,lr,weight_decay,,,
14,COMPLETE,0.3261177087637905,256,0.16348136398625954,512,0.0007178328911432867,0.00027875229891302503,0 days 00:00:15.240005,2025-06-03 12:54:20.698982,2025-06-03 12:54:35.938987
15,COMPLETE,0.34431096382214854,256,0.18185408229570843,256,0.000962502459808489,0.000985974842857383,0 days 00:00:15.545268,2025-06-03 12:54:35.939326,2025-06-03 12:54:51.484594
16,COMPLETE,0.33988921896405333,256,0.21775611330438288,512,0.00038263697887891667,0.00013680262216769057,0 days 00:00:15.583883,2025-06-03 12:54:51.485017,2025-06-03 12:55:07.068900
17,COMPLETE,0.25331618274529955,256,0.1479237438122683,512,0.002540182043929484,0.0003275076221197341,0 days 00:00:15.664428,2025-06-03 12:55:07.071425,2025-06-03 12:55:22.735853
18,COMPLETE,0.23091511393291791,128,0.13084491877463258,256,0.009310387232372059,0.00045483635731655245,0 days 00:00:08.538189,2025-06-03 12:55:22.738223,2025-06-03 12:55:31.276412
19,COMPLETE,0.36463662288512555,256,0.18137338665879882,1024,0.0010692730864762553,0.00012141046495040753,0 days 00:00:15.455858,2025-06-03 12:55:31.276808,2025-06-03 12:55:46.732666
20,COMPLETE,0.31747305939814374,256,0.20450745974150364,512,0.0006056121569073615,1.8708611328090344e-05,0 days 00:00:16.048859,2025-06-03 12:55:46.732986,2025-06-03 12:56:02.781845
21,COMPLETE,0.4008644098805368,256,0.16961614330131203,1024,0.0015506237197082376,0.00010130059837632409,0 days 00:00:15.800078,2025-06-03 12:56:02.782204,2025-06-03 12:56:18.582282
22,COMPLETE,0.382871957454176,256,0.17098223218625624,1024,0.0011721030344485864,8.331799022297766e-05,0 days 00:00:13.331952,2025-06-03 12:56:18.582591,2025-06-03 12:56:31.914543
23,COMPLETE,0.3715505805610541,256,0.12857868928836771,1024,0.002151693244319465,0.0004731456281929388,0 days 00:00:15.449578,2025-06-03 12:56:31.914913,2025-06-03 12:56:47.364491
24,COMPLETE,0.2780229281107352,256,0.2846334121778535,1024,0.0040730828762430655,0.00020116568364607476,0 days 00:00:15.590239,2025-06-03 12:56:47.364858,2025-06-03 12:57:02.955097
25,COMPLETE,0.37158055290388814,256,0.15833432196329797,1024,0.0008635961798872065,0.0005708687483775682,0 days 00:00:15.887179,2025-06-03 12:57:02.955426,2025-06-03 12:57:18.842605
26,COMPLETE,0.3640215960539045,128,0.2180422953091723,512,0.001529376202477177,6.780574336215566e-05,0 days 00:00:16.606842,2025-06-03 12:57:18.842918,2025-06-03 12:57:35.449760
27,COMPLETE,0.3694726971100488,256,0.11002277156796743,512,0.00055376023093051,0.0005218993021944709,0 days 00:00:15.443919,2025-06-03 12:57:35.452330,2025-06-03 12:57:50.896249
28,COMPLETE,0.35761185643013277,256,0.14849359659058,256,0.005585955320997213,1.8204075394591493e-05,0 days 00:00:15.429401,2025-06-03 12:57:50.898970,2025-06-03 12:58:06.328371
29,COMPLETE,0.3618793466254948,256,0.23560744058691285,1024,0.002971529812252443,3.5478212553630256e-05,0 days 00:00:12.937437,2025-06-03 12:58:06.328737,2025-06-03 12:58:19.266174
